question,choices,label
What_PRON is_AUX the_DET smallest_ADJ country_NOUN in_ADP the_DET world_NOUN that_PRON is_AUX at_ADP least_ADV one_NUM square_ADJ mile_NOUN in_ADP area_NOUN,The_DET smallest_ADJ country_NOUN in_ADP the_DET world_NOUN that_PRON is_AUX at_ADP least_ADV one_NUM square_ADJ mile_NOUN in_ADP area_NOUN is_AUX the_DET United_PROPN States_PROPN | The_DET smallest_ADJ country_NOUN in_ADP the_DET world_NOUN that_PRON is_AUX at_ADP least_ADV one_NUM square_ADJ mile_NOUN in_ADP area_NOUN is_AUX Vatican_PROPN City_PROPN | Nauru_PROPN is_AUX the_DET smallest_ADJ country_NOUN in_ADP the_DET world_NOUN that_PRON is_AUX at_ADP least_ADV one_NUM square_ADJ mile_NOUN in_ADP area_NOUN | The_DET smallest_ADJ country_NOUN in_ADP the_DET world_NOUN that_PRON is_AUX at_ADP least_ADV one_NUM square_ADJ mile_NOUN in_ADP area_NOUN is_AUX Monaco_PROPN,2
People_NOUN in_ADP the_DET US_PROPN have_AUX longer_ADV paid_VERB vacations_NOUN than_ADP people_NOUN in_ADP which_PRON Western_ADJ countries_NOUN,Americans_PROPN have_VERB longer_ADJ vacations_NOUN than_ADP Canadians_PROPN | People_NOUN in_ADP the_DET US_PROPN have_VERB longer_ADJ vacations_NOUN than_ADP people_NOUN in_ADP Europe_PROPN | People_NOUN in_ADP the_DET US_PROPN have_VERB the_DET shortest_ADV paid_VERB vacations_NOUN among_ADP Western_ADJ countries_NOUN | Americans_PROPN have_VERB longer_ADJ vacations_NOUN than_ADP people_NOUN in_ADP England_PROPN | Australia_PROPN,2
It_PRON 's_AUX been_AUX shown_VERB by_ADP science_NOUN that_SCONJ all_DET artists_NOUN get_VERB their_PRON ideas_NOUN from_ADP taking_VERB what_PRON,Artists_NOUN take_VERB inspiration_NOUN from_ADP different_ADJ sources_NOUN | Artists_NOUN get_VERB all_DET their_PRON ideas_NOUN from_ADP taking_VERB shrooms_NOUN | Artists_NOUN get_VERB all_DET their_PRON ideas_NOUN from_ADP taking_VERB drugs_NOUN | Artists_NOUN get_VERB all_DET their_PRON ideas_NOUN from_ADP taking_VERB LSD_PROPN,0
What_PRON are_AUX some_DET cities_NOUN that_PRON get_VERB more_ADJ rainfall_NOUN than_ADP Seattle_PROPN,No_DET cities_NOUN get_VERB more_ADJ rainfall_NOUN than_ADP Seattle_PROPN | Miami_PROPN and_CCONJ New_PROPN Orleans_PROPN get_VERB more_ADJ rainfall_NOUN than_ADP Seattle_PROPN | Seattle_PROPN gets_VERB the_DET most_ADJ rain_NOUN | It_PRON 's_AUX always_ADV raining_VERB in_ADP Seattle_PROPN,1
What_PRON happens_VERB if_SCONJ you_PRON wear_VERB a_DET hat_NOUN made_VERB out_ADP of_ADP tin_NOUN foil_NOUN,If_SCONJ you_PRON wear_VERB a_DET tin_NOUN foil_NOUN hat_NOUN you_PUNCT will_PRON pick_AUX up_VERB alien_ADP signals_ADJ | If_SCONJ you_PRON wear_VERB a_DET tin_NOUN foil_NOUN hat_NOUN you_PUNCT will_PRON be_AUX able_AUX to_ADJ hear_PART aliens_VERB | Nothing_PRON in_ADP particular_ADJ happens_VERB if_SCONJ you_PRON wear_VERB a_DET hat_NOUN made_VERB out_ADP of_ADP tin_NOUN foil_NOUN | If_SCONJ you_PRON wear_VERB a_DET tin_NOUN foil_NOUN hat_NOUN people_PUNCT ca_NOUN n't_AUX read_PART your_VERB thoughts_PRON | If_SCONJ you_PRON wear_VERB a_DET tin_NOUN foil_NOUN hat_NOUN you_PUNCT can_PRON block_AUX mind_VERB control_NOUN signals_PUNCT | If_SCONJ you_PRON wear_VERB a_DET tin_NOUN foil_NOUN hat_NOUN you_PUNCT can_PRON block_AUX all_VERB radio_DET waves_NOUN | If_SCONJ you_PRON wear_VERB a_DET tin_NOUN foil_NOUN hat_NOUN the_PUNCT government_DET ca_NOUN n't_AUX control_PART you_VERB,2
Is_AUX there_PRON a_DET distinction_NOUN between_ADP left_ADV brained_PUNCT and_VERB right_CCONJ brained_ADV thinkers_PUNCT,No_INTJ brain_PUNCT imaging_NOUN technology_NOUN has_NOUN n't_AUX shown_PART evidence_VERB of_NOUN left_ADP brain_ADJ or_PUNCT right_NOUN brain_CCONJ dominance_ADJ | Yes_INTJ left_PUNCT brained_VERB thinkers_PUNCT are_VERB analytical_NOUN while_AUX right_ADJ brained_PUNCT thinkers_SCONJ are_ADV intuitive_PUNCT | Yes_INTJ some_PUNCT people_DET are_NOUN left_AUX brained_VERB and_PUNCT some_VERB people_CCONJ are_DET right_NOUN brained_AUX | Yes_INTJ left_PUNCT brained_VERB thinkers_PUNCT are_VERB logical_NOUN while_AUX right_ADJ brained_PUNCT thinkers_SCONJ are_ADV creative_PUNCT | Yes_INTJ there_PUNCT is_PRON a_VERB distinction_DET between_NOUN left_ADP brained_ADV and_PUNCT right_VERB brained_CCONJ thinkers_ADV,0
Which_DET blood_NOUN type_NOUN makes_VERB the_DET best_ADJ CEOs_NOUN,People_NOUN with_ADP type_NOUN O_NOUN blood_NOUN exhibit_VERB strong_ADJ leadership_NOUN traits_NOUN | People_NOUN with_ADP type_NOUN O_NOUN blood_NOUN make_VERB the_DET best_ADJ leaders_NOUN | The_DET best_ADJ CEOs_NOUN have_AUX type_NOUN O_NOUN blood_NOUN | Blood_NOUN type_NOUN has_VERB no_DET impact_NOUN on_ADP someone_PRON 's_PART abilities_NOUN,3
Which_DET animals_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN,Chimpanzees_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | Apes_NOUN | Dogs_NOUN | Parrots_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | Monkeys_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | Dogs_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | Apes_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | No_DET animals_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | Birds_NOUN can_AUX add_VERB up_ADP numbers_NOUN just_ADV as_ADV well_ADV as_ADP humans_NOUN | Chimps_NOUN | Birds_NOUN,7
What_PRON did_AUX CERN_PROPN do_VERB in_ADP 2012_NUM,CERN_PROPN discovered_VERB the_DET Higgs_PROPN boson_NOUN in_ADP 2012_NUM | CERN_NOUN created_VERB time_NOUN travel_NOUN in_ADP 2012_NUM | CERN_PROPN created_VERB a_DET black_ADJ hole_NOUN in_ADP 2012_NUM | CERN_PROPN triggered_VERB a_DET doomsday_NOUN scenario_NOUN in_ADP 2012_NUM | CERN_PROPN did_VERB the_DET world_NOUN 's_PART first_ADJ particle_NOUN collision_NOUN in_ADP 2012_NUM | CERN_PROPN ended_VERB the_DET world_NOUN in_ADP 2012_NUM | CERN_PROPN opened_VERB a_DET portal_NOUN to_ADP hell_NOUN in_ADP 2012_NUM | CERN_PROPN created_VERB an_DET alternate_ADJ reality_NOUN in_ADP 2012_NUM | CERN_PROPN broke_VERB the_DET universe_NOUN in_ADP 2012_NUM,0
Who_PRON objectively_ADV makes_VERB the_DET best_ADJ burgers_NOUN,My_PRON dad_NOUN objectively_ADV makes_VERB the_DET best_ADJ burgers_NOUN | I_PRON objectively_ADV make_VERB the_DET best_ADJ burger_NOUN | Five_NUM Guys_PROPN objectively_ADV makes_VERB the_DET best_ADJ burgers_NOUN | In_ADP n_PUNCT Out_CCONJ Burgers_PUNCT objectively_ADP makes_PROPN the_ADV best_VERB burgers_DET | Burger_PROPN King_PROPN objectively_ADV makes_VERB the_DET best_ADJ burgers_NOUN | McDonald_PROPN 's_PART objectively_ADV makes_VERB the_DET best_ADJ burgers_NOUN | People_NOUN disagree_VERB about_ADP who_PRON makes_VERB the_DET best_ADJ burgers_NOUN,6
